longitude,latitude,code,name,type,phone,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
-113.937,52.463,LAKA,Lakeview - Aspen Beach Provincial Park,PP,877.277.3645,,,256,2966,WE RS,AB,17.6,SE,Rimbey
-110.292,49.661,LAKC,Lakeview - Cypress Hills Interprov. Park,PP,403.893.3833,,,30,4016,WE RS,AB,0.7,NW,Elkwater
-113.661,54.991,LAWR,Lawrence Lake Provincial Rec Area,PP,780.675.8213,,,13,2104,NR,AB,15.6,E,Hondo
-113.513,53.251,LEDU,Leduc Lions,CP,780.986.1882,mid apr-mid oct,pull thrus,110,,WES RS,AB,,,Leduc
-113.308,49.193,LEEC,Lee Creek,CP,403.388.4230,,big rigs OK,55,,WES SH RS,AB,,,Cardston
-114.638,53.793,LESS,Lessard Lake,CP,780.785.4125,mid may-late sep,swim,50,,WE SH,AB,,,Cherhill
-114.821,55.443,LESS,Lesser Slave Lake Provincial Park,PP,780.849.7100,,,113,2151,NR,AB,9.9,NE,Widewater
-113.491,51.591,LIND,Linden East Coulee,CP,403.546.3888,all year,,10,,E DP,AB,,,Linden
-112.928,50.231,LITB,Little Bow Provincial Park,PP,403.897.3933,,,205,2849,E NR,AB,10.9,NE,Carmangay
-112.657,50.194,LITR,Little Bow Reservoir Provincial Rec Area,PP,403.897.3933,,,25,2796,NR,AB,10.8,S,Lomond
-114.857,50.796,LITE,Little Elbow Provincial Rec Area,PP,403.949.4261,,,94,5334,RS,AB,16.5,SW,Bragg Creek
-112.201,51.374,LITF,Little Fish Lake Provincial Park,PP,403.823.1749,,,14,2982,NR,AB,8.4,NE,Dorothy
-116.799,53.689,LITS,Little Sundance Creek Provincial Rec Area,PP,780.865.2154,,,8,3354,NR,AB,,,
-114.442,50.102,LIVI,Livingstone Falls Rec Area,PP,403.563.5395,,,22,5526,NR,AB,31.1,S,Longview
-110.307,49.643,LODG,Lodgepole - Cypress Hills Interprov. Park,PP,403.893.3833,,,49,4016,NH RS,AB,0.8,NW,Elkwater
-113.813,54.472,LONI,Long Island Lake Municipal,CP,780.954.2261,mid may-mid sep,pull thrus,35,,,AB,,,Westlock
-116.165,53.795,LONE,Long Lake -Edson,CP,780.693.2479,mid may-mid sep,,15,,NH,AB,,,Edson
-112.767,54.438,LONG,Long Lake Provincial Park,PP,780.576.3959,,,220,2100,E RS,AB,7,SE,Ellscott
-116.819,53.065,LOVE,Lovett River Provincial Rec Area,PP,780.865.2154,,,17,4583,NR,AB,,,
-113.112,49.362,LOWE,Lower - St. Mary Reservoir Provincial Rec Area,PP,403.382.4097,,,100,3683,NR,AB,3.2,NW,Spring Coulee
-115.121,50.631,LOWL,Lower Lake - Peter Lougheed Provincial Park,PP,403.591.6322,,,104,5509,NR,AB,,,
-114.2,49.586,LUND,Lundbreck Falls Rec Area,PP,403.563.5395,,,65,,E NR,AB,1.6,W,Lundbreck
-114.413,49.453,LYNX,Lynx Creek Rec Area,PP,403.563.5395,,,40,,NR,AB,,,
-116.575,58.328,MACH,Machesis Lake Provincial Rec Area,PP,780.927.3718,,,19,,NW NR,AB,,,
-117.63,56.923,MANN,Manning Riverside,CP,780.836.3606,mid may-late sep,,10,,WE DP SH,AB,,,Manning
-117.706,53.307,MASK,Maskuta Creek,CP,780.865.0876,mid may-mid oct,,15,,,AB,,,Hinton
-114.152,49.8,MAYC,Maycroft Provincial Rec Area,PP,403.382.4097,,,10,,NR,AB,15,N,Lundbreck
-115.14,53.937,MAYE,Mayerthorpe Golf and Country Club,CP,780.786.4737,mid apr-mid oct,,30,,WE DP VT DW,AB,,,Mayerthorpe
-118.754,55.111,MACG,Mcgoverns at Evergreen Park,CP,855.539.1814,mid may-mid sep,,75,,E DP SH,AB,,,Grande Prairie
-114.68,50.889,MCLE,Mclean Creek Provincial Rec Area,PP,403.949.4261,,,170,4703,E RS,AB,6.5,SW,Bragg Creek
-117.276,53.298,MCLO,McLeod River Provincial Rec Area,PP,780.865.2154,,,22,3839,NR,AB,,,
-114.743,52.751,MEDI,Medicine Lake Provincial Rec Area,PP,780.388.2223,,,49,3265,NR,AB,14.1,S,Buck Lake
-114.575,50.773,MESA,Mesa Butte Provincial Rec Area,PP,403.949.4261,,equestrian,15,4717,NR,AB,12.4,S,Bragg Creek
-113.757,52.463,MICP,Michener Park,CP,403.782.1250,mid may-mid oct,pull thrus,55,,E DP FT DW SH,AB,,,Lacombe
-112.537,51.583,MICH,Michichi Rec Area,CP,403.772.3793,mid may-mid oct,,20,,WE DP SH NR,AB,,,Morrin
-116.051,53.36,MINN,Minnow Lake Provincial Rec Area,PP,780.797.4154,mid may-mid oct,unknown facilities,10,,NH NR,AB,,,Edson
-112.873,53.246,MIQU,Miquelon Lake Provincial Park,PP,780.672.7274,,,276,2536,E RS,AB,5.6,NW,Kingman
-115.008,52.215,MITC,Mitchell Lake Provincial Rec Area,PP,403.845.9275,,,5,3443,NR,AB,14.1,NW,Caroline
-119.795,54.36,MOBE,Moberly Flats - Two Lakes Provincial Park,PP,780.538.5381,,,30,4329,NR,AB,,,
-112.347,54.184,MONS,Mons Lake Rec Area,CP,780.656.3037,mid apr-mid oct,,10,,,AB,,,Smoky Lake County
-119.218,55.884,MOON,Moonshine Lake Provincial Park,PP,780.538.5350,,,110,2349,E NR,AB,4.3,SW,Blueberry Mountain
-110.931,54.273,MOOS,Moose Lake Provincial Park,PP,780.594.7856,,,59,1811,E RS,AB,9.1,E,Glendon
-116.332,51.632,MOSQ,Mosquito Creek - Banff National Park,CNP,403. 522.3833,,,32,6000,VT NR,AB,,,
-113.967,52.869,MOUR,Mound Red Park,CP,780.586.3508,mid may-late sep,pull thrus,30,,NH,AB,,,Wetaskiwin
-117.865,52.634,MOUN,Mount Kerkeslin - Jasper National Park,CNP,780. 852.6146,,,42,4007,NR,AB,19.2,SE,Jasper
-115.127,50.62,MOUN,Mount Sarrail - Peter Lougheed Provincial Park,PP,403.591.6322,,,44,5542,NR,AB,,,
-113.873,54.152,MOUN,Mountie Park,CP,,mid may-mid oct,,20,,WES SH NR,AB,,,Westlock
-110.659,54.192,MURI,Muriel Lake Park,CP,780.826.4140,mid may-mid sep,,95,,E RS,AB,,,Bonnyville
-118.641,54.56,MUSR,Musreau Lake Campground,PP,780.538.5350,,,69,2991,NR,AB,,,
-113.611,54.618,NARR,Narrow Lake,CP,780.675.2273,mid may-mid sep,,10,,NH,AB,,,Athabasca
-112.504,54.653,NORB,North Buck Lake Rec Area,PP,780.689.4602,,,135,2047,E NR,AB,1.3,N,Caslan
-114.265,52.039,NORD,North Dyke - Dickson Dam Provincial Rec Area,PP,403.887.5522,,,30,3110,NR,AB,3.8,SE,Spruce View
-114.543,50.754,NORP,North Fork Provincial Rec Area,PP,403.949.4261,,,24,4457,NR,AB,9.5,W,Millarville
-115.027,51.395,NORG,North Ghost Provincial Rec Area,PP,,,,,4930,NR,AB,,,
-113.893,55.986,NORT,North Wabasca Rec Area,CP,780.891.2842,mid may-late aug,,35,,E VT,AB,,,Wabasca
-117.195,57.281,NOTI,Notikewin Provincial Park,PP,780.836.2048,,,19,,NR,AB,19.9,NE,Hotchkiss
-117.143,53.547,OBED,Obed Lake Provincial Park,PP,780.865.2154,,,7,3503,NR,AB,,,
-110.295,49.654,OLDB,Old Baldy - Cypress Hills Interprov. Park,PP,403.893.3833,,,19,4016,WE RS,AB,0.8,NW,Elkwater
-114.44,49.95,OLDN,Oldman River North Rec Area,PP,403.563.5395,,,10,,NR,AB,41.2,S,Longview
-113.451,49.719,OLDM,Oldman River Provincial Rec Area,PP,403.382.4097,,,40,3109,NR,AB,2.3,W,Fort Macleod
-119.892,56.316,OLES,Oles Lake Provincial Rec Area,PP,780.595.2149,,,16,2388,NW NR,AB,7.5,N,Bear Canyon
-110.474,51.346,OYEN,Oyen Centennial Park,CP,403.664.3511,mid may-mid oct,water slide nearby,25,,WE DP FT DW,AB,,,Oyen
-114.707,50.884,PADD,Paddys Flat - Elbow River Provincial Rec Area,PP,403.949.4261,,,98,4652,NH NR,AB,7.6,SW,Bragg Creek
-112.925,49.807,PARK,Park Lake Provincial Park,PP,403.382.4097,,,40,3075,E RS,AB,3.5,W,Diamond City
-113.638,49.105,PAYN,Payne Lake Provincial Rec Area,PP,403.382.4097,,,46,4400,NW,AB,2.6,SW,Mountain View
-112.827,52.523,PELI,Pelican Point Park,CP,855.283 . 7838,mid may-mid sep,lake swim,60,,E SH RS,AB,,,Bashaw
-116.567,52.935,PEMF,Pembina Forks Provincial Rec Area,PP,780.865.2154,,,20,4271,NR,AB,,,
-114.46,53.933,PEMB,Pembina River Provincial Park,PP,780.727.3643,,,132,2328,E RS,AB,9.7,N,Glenevis
-115.706,52.041,PEPP,Peppers Lake Provincial Rec Area,PP,403.845.9275,,equestrian,16,5154,NR,AB,,,
-110.009,50.959,PETE,Peter Fidler Park,CP,403.565.3938,mid may-mid oct,pull thrus,10,,WE FT DW SH,AB,,,Empress
-114.968,52.101,PHYL,Phyllis Lake Provincial Rec Area,PP,403.845.9275,,,21,3704,NR,AB,9.7,W,Caroline
-118.592,53.904,PIER,Pierre Greys Lakes Provincial Rec Area,PP,780.827.1382,,,83,4137,NR,AB,,,
-114.006,52.963,PIGE,Pigeon Lake - Pigeon Lake Provincial Park,PP,780.586.2644,,,300,2817,E RS,AB,33.4,E,Wetaskiwin County
-113.942,49.486,PINC,Pincher Creek Veterans Memorial,CP,403.627.4322,mid may-mid oct,stream side - big rigs OK,20,,E DP,AB,,,Pincher Creek
-113.731,50.135,PINC,Pine Coulee - Willow Creek Provincial Park,PP,403.625.6239,,,140,3438,NR,AB,4.4,SW,Stavely
-119.761,54.379,PINH,Pine Hollow - Two Lakes Provincial Park,PP,780.538.5381,,,24,3678,NR,AB,,,
-112.267,59.556,PINL,Pine Lake Campground - Wood Buffalo National Park,CNP,867.872.7900,,Boil drinking water,,,NH ND PT DW NS NR,AB,,,
-111.478,54.651,PINL,Pinehurst Lake - Lakeland Provincial Rec Area,PP,780.623.5235,,,70,1968,NR,AB,19,N,Goodridge
-119.103,55.066,PIPE,Pipestone Creek Park,CP,780.766.2391,mid may-mid oct,fossils,100,,NH,AB,,,Wembley
-117.908,53.196,POCA,Pocahontas - Jasper National Park,CNP,780. 852.6176,,,140,3666,RS,AB,,,
-113.475,49.009,POLI,Police Outpost Provincial Park,PP,,,,,4627,NR,AB,13.1,SW,Aetna
-115.305,52.249,PRAI,Prairie Creek Provincial Rec Area,PP,403.845.9275,,,50,3875,NH NR,AB,,,
-111.827,51.459,PRAI,Prairie Oasis Park,CP,855.283 . 7838,mid may-late sep,pull thrus - warm water swimming,75,,,AB,,,Hanna
-116.036,51.326,PROT,Protection Mountain - Banff National Park,CNP,403. 522.3833,,,89,4873,FT NR,AB,,,
-117.694,56.219,QUEE,Queen Elizabeth Provincial Park,PP,780.624.6486,,,56,2141,E NR,AB,5.3,N,Berwyn
-114.424,49.833,RACE,Racehorse Rec Area,PP,403.563.5395,,,38,,NR,AB,12.4,S,Ranchland No. 66
-115.832,52.092,RAM,Ram Falls Provincial Rec Area,PP,403.845.9275,,,54,5295,NR,AB,,,
-116.865,52.04,RAMP,Rampart Creek - Banff National Park,CNP,403. 522.3833,,,50,4742,VT NR,AB,,,
-114.502,52.091,RAVE,Raven Provincial Rec Area,PP,403.755.6163,,,8,3188,NR,AB,7,SE,Stauffer
-113.087,52.756,REDD,Red Deer Lake Park,CP,780.361.8180,mid may-mid sep,swim,20,,NH DP,AB,,,Ferintosh
-115.279,51.651,REDD,Red Deer River Rec Area,PP,403.637.2229,,,64,4777,NR,AB,,,
-114.244,51.948,REDL,Red Lodge Provincial Park,PP,403.224.2547,,,105,3129,E RS,AB,10,S,Spruce View
-110.106,49.667,REED,Reesor Dock - Cypress Hills Interprov. Park,PP,403.893.3833,,,10,4037,NH NR,AB,8.2,E,Elkwater
-110.098,49.66,REEL,Reesor Lake - Cypress Hills Interprov. Park,PP,403.893.3833,,,40,4016,NH NR,AB,0.9,NW,Elkwater
-115.594,52.967,RESE,Reservoir - Brazeau Reservoir Provincial Rec Area,PP,780.894.0006,,,33,3213,NH RS,AB,,,
-112.555,49.349,RIDG,Ridge Park Recreation,CP,403.642.7021,mid apr-mid oct,,55,,E VT DW,AB,,,Warner
-114.026,51.931,RIVR,River Ridge - Bowden Heritage,CP,403.224.2727,mid may-mid oct,,20,,E,AB,,,Bowden
-110.856,52.995,RIVE,Riverdale Mini-Park,CP,780.842.2996,mid may-mid sep,pull thrus,105,,WES DP SH,AB,,,Wainwright
-112.892,52.462,ROCH,Rochon Sands Provincial Park,PP,403.742.4338,,,69,2563,NR,AB,0.4,NW,Rochon Sands
-118.238,53.472,ROCK,Rock Lake Provincial Park,PP,780.865.2154,,,93,4566,NR,AB,,,
-113.141,51.236,ROCK,Rockyford Lions,CP,403.533.3950,all year,,30,,WES,AB,,,Rockyford
-110.088,53.277,ROLL,Rolling Green Fairways RV,CP,780.872.1660,mid apr-late oct,no tents - big rigs OK,75,,WES,AB,,,Lloydminster
-110.486,53.818,ROSS,Ross Lake - Whitney Lakes Provincial Park,PP,780.645.6295,,,65,1930,E RS,AB,3.6,W,Frog Lake
-114.402,54.111,ROTA,Rotary Park,CP,780.674.2532,mid may-mid oct,no tents - pull thrus,20,,WE,AB,,,Barrhead
-114.531,50.637,SAND,Sandy  McNabb - Sheep River Provincial Park,PP,403.949.4261,,,98,4694,NR,AB,12.2,SW,Millarville
-112.831,53.678,SAND,Sandy Beach - Elk Island National Park,CNP,780. 992.2950,,,,2335,RS,AB,15.6,E,Fort Saskatchewan
-111.859,53.869,SANL,Sandy Lake,CP,780.657.2052,mid may-late sep,swim beach,35,,E DP FT DW SH,AB,,,Two Hills
-110.078,50.732,SAND,Sandy Point Park,CP,403.526.2888,mid may-mid oct,pull thrus,15,,NH,AB,,,Hilda
-114.91,53.89,SANG,Sangudo Riverside,CP,780.785.3411,mid may-late sep,,20,,E DP FT SH,AB,,,Sangudo
-119.085,55.205,SASK,Saskatoon Island Provincial Park,PP,780.538.5350,,,103,2365,E RS,AB,4.4,NE,Wembley
-115.758,52.455,SAUN,Saunders Provincial Rec Area,PP,403.845.8349,,,7,3741,NR,AB,,,
-111.264,54.691,SEIB,Seibert Lake - Lakeland Provincial Rec Area,PP,780.623.5235,,,47,2095,NR,AB,21.6,N,Goodridge
-115.357,51.996,SEVE,Seven Mile Provincial Rec Area,PP,403.845.9275,,,36,4348,NR,AB,27.1,W,Caroline
-118.771,55.346,SEXS,Sexsmith Heritage Park,CP,780.568.3681,early may-late sep,,30,,WE,AB,,,Sexsmith
-117.677,56.531,SHAD,Shady Lane,CP,780.971.3973,mid may-mid oct,pull thrus,25,,WE,AB,,,Dixonville
-114.138,50.719,SHEE,Sheep Creek Provincial Rec Area,PP,780.827.1382,,,9,3638,NR,AB,4.7,NE,Black Diamond
-116.031,53.863,SHIN,Shiningbank Lake,CP,780.693.2150,mid may-mid sep,,40,,NH VT DW,AB,,,Peers
-110.859,52.464,SHOR,Shorncliffe Lake,CP,780.857.2435,mid may-late sep,swim beach,50,,WES DP FT DW SH,AB,,,Czar
-114.862,51.046,SIBB,Sibbald Lake Provincial Rec Area,PP,403.673.3985,,,134,4912,NR,AB,14.3,NW,Bragg Creek
-112.963,52.889,SILV,Silver Creek Golf & Camp,CP,780.855.3982,mid apr-late oct,big rigs OK - many activities,215,,WES DP FT DW SH RS,AB,,,New Norway
-118.182,55.136,SIMO,Simonette River Provincial Rec Area,PP,780.538.5350,,,25,1633,NR,AB,28.1,E,Grovedale
-111.976,54.832,SIRW,Sir Winston Churchill Provincial Park,PP,780.623.4144,,,,1835,E RS,AB,4.3,N,Lac La Biche
-116.909,54.365,SMOL,Smoke Lake Campground,PP,,,,,2835,NR,AB,,,
-112.472,54.12,SMOK,Smoky Lake RV Park,CP,780.656.3674,mid may-mid sep,,10,,E NR,AB,,,Smoky Lake County
-119.154,53.891,SMOK,Smoky River South Provincial Rec Area,PP,780.827.1382,,,22,3162,NR,AB,1.7,W,Grande Cache
-118.085,53.013,SNAR,Snaring River - Jasper National Park,CNP,780. 852.6176,,,66,3329,NR,AB,9.2,N,Jasper
-114.248,52.025,SOUD,South Dyke - Dickson Dam Provincial Rec Area,PP,403.887.5522,,,20,3121,NR,AB,5,SE,Spruce View
-115.348,50.977,SPRA,Spray Lakes West - Spray Valley Provincial Park,PP,403.673.3985,,,50,5563,NR,AB,,,
-110.185,49.679,SPRU,Spruce Coulee - Cypress Hills Interprov. Park,PP,403.893.3833,,,,4016,NH,AB,,,Elkwater
-111.844,54.712,SPRU,Spruce Point Resort,CP,780.623.3930,early may-late sep,swim beach,160,,WE DP SH RS,AB,,,Lac La Biche
-111.309,53.991,STPA,St Paul Overnight Trailer Park,CP,780.645.5313,mid may-late aug,,40,,WES,AB,,,St Paul
-112.983,51.113,STAN,Standard Municipal,CP,403.644.3968,,,10,,E DP FT DW SH,AB,,,Standard
-112.912,51.661,STAR,Starland Rec Area,CP,403.772.3793,mid may-mid oct,,50,,NH ND VT DW NR,AB,,,Morrin
-111.081,53.868,STON,Stoney Lake Municipal Rec Area,CP,780.724.2381,mid may-late aug,,45,,E FT DW SH,AB,,,St Paul
-115.174,52.263,STRA,Strachan Provincial Rec Area,PP,403.845.9275,,,27,3620,NR,AB,,,
-117.422,56.162,STRO,Strong Creek Park,CP,780.338.3845,early may-late oct,unknown facilities,20,,N$,AB,,,Peace River
-119.177,53.869,SULP,Sulphur Gates Provincial Rec Area,PP,780.827.1382,,equestrian,11,3315,NR,AB,,,
-118.311,56.706,SULL,Sulphur Lake Provincial Rec Area,PP,780.624.6486,,,16,2468,NR,AB,26.9,NW,Dixonville
-115.195,52.122,SWAN,Swan Lake Provincial Rec Area,PP,403.845.9275,,,24,4042,NR,AB,19.4,W,Caroline
-112.137,49.783,TABE,Taber RV Park,CP,403.223.5997,mid apr-late oct,not attractive,80,,WES,AB,,,Taber
-117.562,56.092,TANG,Tangent Park,CP,780.359.2025,early may-late oct,pull thrus,70,,WES DP FT DW SH,AB,,,Tangent
-115.098,52.043,TAYR,Tay River Provincial Rec Area,PP,403.845.9275,,,32,3893,NR,AB,15.6,W,Caroline
-113.042,53.192,TELE,Telegraph Park and Hay Lakes Lions,CP,780.878.3200,mid may-mid sep,,20,,WE,AB,,,Hay Lakes
-113.057,52.45,THEN,The Narrows Provincial Rec Area,PP,403.742.4338,,,61,2570,NR,AB,2.5,SE,Mirror
-114.241,52.633,NEST,The Nesting Place,CP,403.704.6997.,mid may-late sep,,40,,WES DP SH NR,AB,,,Rimbey
-116.626,52.014,THOM,Thompson Creek Provincial Rec Area,PP,403.721.2184,,,55,4526,NR,AB,,,
-110.276,53.032,THRC,Three Cities Regional Rec Park,CP,780.745.2283,mid may-late sep,,10,,E FT DW SH,AB,,,Paradise Valley
-113.249,51.707,THRH,Three Hills Rec Park,CP,403.443.5822,all year,pull thrus,50,,WES DP FT DW SH,AB,,,Three Hills
-115.267,51.041,THRE,Three Sisters - Bow Valley Provincial Park,PP,403.673.3985,,,36,4270,NH NR,AB,0.2,NW,Dead Mans Flats
-114.721,54.125,THUN,Thunder Lake Provincial Park,PP,780.674.4051,,,127,2180,E NR,AB,4.4,SE,Tiger Lily
-111.812,50.539,TILL,Tillebrook Provincial Park,PP,403.362.4525,,,85,2518,E RS,AB,9.3,NW,Tilley
-112.755,52.877,TILL,Tillicum Beach Park,CP,780.672.4446,mid may-mid sep,,5,,E DW SH NR,AB,,,Camrose
-113.014,51.837,TOLE,Tolman East - Dry Island Buffalo Jump Provincial Park,PP,403.742.7512,,,36,2315,NH NR,AB,9.4,E,Trochu
-113.019,51.839,TOLW,Tolman West - Dry Island Buffalo Jump Provincial Park,PP,403.742.7512,,,30,2314,NH NR,AB,9.2,E,Trochu
-113.606,51.795,TORR,Torrington Village,CP,403.443.5541,all year,,5,,NH ND VT NS,AB,,,Torrington
-111.437,54.86,TOUC,Touchwood Lake - Lakeland Provincial Rec Area,PP,780.623.5235,,,100,2159,NR,AB,39.1,NW,La Corey
-112.731,52.321,TOWN,Town of Stettler - Lions,CP,403.742.4411,mid may-mid oct,,65,,WES,AB,,,Stettler
-113.91,49.048,TOWN,Townsite - Waterton Lakes National Park,CNP,,,,238,4219,WE RS,AB,2.5,S,Waterton Park
-115.093,54.524,TRAP,Trapper Leas Rec Area,PP,,,,,2738,NR,AB,,,
-113.226,51.824,TROC,Trochu Lions Club,CP,403.442.3061,early apr-mid oct,,35,,WES FT DW SH,AB,,,Trochu
-115.54,51.189,TUNT,Tunnel Mt Trailer - Banff National Park,CNP,,,,321,4803,E FT RS,AB,,,
-115.52,51.191,TUN1,Tunnel Mt Village I - Banff National Park,CNP,403. 762.1550,,,618,4725,FT RS,AB,,,
-115.52,51.189,TUN2,Tunnel Mt Village II - Banff National Park,CNP,,,,188,4658,FT RS,AB,,,
-113.213,53.72,TURN,Turner Park,CP,780.998.4074,mid may-mid oct,big rigs OK,20,,WE SH RS,AB,,,Fort Saskatchewan
-115.005,52.417,TWIC,Twin Lakes - Crimson Lake Provincial Park,PP,403.845.2330,,,39,3204,NH NR,AB,14.9,W,Alhambra
-114.363,52.952,TWIL,Twin Lakes Park,CP,780.819.1078,early may-late sep,pull thrus,60,,NH VT DW,AB,,,Winfield
-117.525,57.448,TWIN,Twin Lakes Provincial Rec Area,PP,780.836.4046,,,49,2376,RS,AB,,,
-112.826,50.269,TWIN,Twin Valley,CP,403.485.2241,mid may-mid oct,,30,,E NR,AB,,,Vulcan
-115.5,51.224,TWOL,Two Jack Lakeside - Banff National Park,CNP,,,,74,4888,FT NR,AB,,,
-115.505,51.229,TWOM,Two Jack Main - Banff National Park,CNP,403. 762.1550,,,380,4864,WE FT NR,AB,,,
-116.419,52.063,TWOO,Two Oclock Creek - Kootenay Plains Provincial Rec Area,PP,403.721.2184,,,24,4484,NR,AB,,,
-112.084,49.145,UNDE,Under Eight Flags,CP,403.647.2502,all year,pull thrus,40,,WES DP FT DW SH,AB,,,Milk River
-113.127,49.372,UPPE,Upper - St. Mary Reservoir Provincial Rec Area,PP,403.382.4097,,,30,3661,NR,AB,4.2,NW,Spring Coulee
-112.097,50.088,VAUX,Vauxhall Lions,CP,403.654.4052,mid may-mid oct,,30,,E VT DW SH,AB,,,Vauxhall
-110.871,53.363,VERM,Vermilion Provincial Park,PP,780.853.4372,,,111,1904,WE RS,AB,0.8,NW,Vermilion
-111.122,52,VETE,Veteran Centennial Park,CP,403.575.3954,all year,,10,,WES,AB,,,Veteran
-112.465,52.917,VILL,Village of Bawlf Jubilee Park,CP,780.373.3797,mid may-mid oct,no tents,5,,WE FT DW,AB,,,Bawlf
-113.271,50.406,VIRG,Virginia Mitchell Memorial Park,CP,403.485.2994,mid may-mid sep,,15,,WES DP FT DW SH,AB,,,Vulcan
-114.442,53.565,WABA,Wabamun Lake Provincial Park,PP,780.892.2702,,,276,2368,E RS,AB,1.2,E,Wabamun
-117.993,52.77,WABA,Wabasso - Jasper National Park,CNP,780. 852.6176,,,228,3581,RS,AB,8.3,SE,Jasper
-115.549,57.76,WADL,Wadlin Lake Park,CP,780.928.3983,mid may-mid sep,,35,,NH DP FT NW,AB,,,Fort Vermilion
-114.988,51.366,WAIP,Waiparous Creek Provincial Rec Area,PP,403.637.2198,,,56,4702,NR,AB,,,
-118.064,52.837,WAPI,Wapiti - Jasper National Park,CNP,780. 852.6176,,,362,3512,E RS,AB,3,S,Jasper
-117.205,54.753,WASK,Waskahigan River Provincial Rec Area,PP,780.538.5350,,,20,2151,NR,AB,,,
-116.62,51.842,WATE,Waterfowl Lakes - Banff National Park,CNP,403. 522.3833,,,116,5505,FT NR,AB,,,
-113.679,49.33,WATE,Waterton Reservoir Rec Area,PP,403.626.3656,,,25,3877,NR,AB,3.5,NW,Hill Spring
-117.27,53.074,WATS,Watson Creek Provincial Rec Area,PP,780.865.2154,,,38,4762,NR,AB,,,
-115.529,52.952,WEST,West Canal - Brazeau Reservoir Provincial Rec Area,PP,780.894.0006,,,18,3157,NH RS,AB,,,
-111.33,54.124,WEST,Westcove Municipal Rec Area,CP,780.645.6688,mid may-late aug,pull thrus,95,,E DP SH,AB,,,St Paul
-113.352,52.989,WETA,Wetaskiwin Lions RV,CP,780.352.7258,mid may-late sep,no tents - big rigs OK,50,,WES DP FT DW SH,AB,,,Wetaskiwin
-118.079,52.847,WHIS,Whistlers- Jasper National Park,CNP,780. 852.6176,,,781,3495,WE RS,AB,2.2,S,Jasper
-117.347,52.986,WHIT,Whitehorse Creek Prov Rec Area,PP,780.865.2154,,equestrian,26,5376,NR,AB,,,
-110.546,53.827,WHIL,Whitney Lake - Whitney Lakes Provincial Park,PP,780.645.6295,,,50,1921,RS,AB,4,N,Heinsburg
-117.176,52.219,WILC,Wilcox Creek - Jasper National Park,CNP,780. 852.6176,,,46,6758,NR,AB,,,
-110.708,50.03,WILD,Wild Rose Trailer Park,CP,403.526.2248,all year,no tents - pull thrus,90,,WES FT DW SH,AB,,,Medicine Hat
-117.788,53.27,WILD,Wildhorse Lake - Wildhorse Lake Provincial Rec Area,PP,780.866.2231,,,23,3773,NR,AB,,,
-115.127,50.665,WILW,William Watson - Peter Lougheed Provincial Park,PP,403.591.6322,,,20,5603,E NR,AB,,,
-117.56,55.082,WILL,Williamson Provincial Park,PP,780.538.5350,,,67,2252,E NR,AB,2.4,NW,Calais
-116.43,53.536,WILC,Willmore Rec Park,CP,780.723.7141,all year,pull thrus,40,,NH PT DW RS,AB,,,Edson
-113.776,50.119,WILC,Willow Creek - Willow Creek Provincial Park,PP,403.625.6239,,,40,3419,NR,AB,6.7,SW,Stavely
-115.058,51.084,WILR,Willow Rock - Bow Valley Provincial Park,PP,403.673.3985,,,124,4257,E NR,AB,3.2,E,Kananaskis
-116.678,55.618,WINA,Winagami Lake Provincial Park,PP,780.523.0041,,,66,2052,E NR,AB,14.8,NW,High Prairie
-113.837,53.113,WIZA,Wizard Lake Jubilee Park,CP,780.985.2499,mid may-late aug,pull thrus,110,,E FT DW SH,AB,,,Calmar
-110.977,54.669,WOLF,Wolf Lake Park,CP,780.916.7821,mid may-mid sep,,65,,NH DP RS,AB,,,Bonnyville
-116.074,53.212,WOLF,Wolf Lake West Provincial Rec Area,PP,780.723.0738,,,32,3458,NR,AB,27.5,W,Cynthia
-113.19,49.178,WOOL,Woolford Provincial Park,PP,403.382.4097,,,46,3719,NR,AB,4.3,NE,Aetna
-111.617,49.084,WRIT,Writing on Stone Provincial Park,PP,403.647.2364,,,64,3010,E RS,AB,15,W,Aden
-113.426,50.83,WYND,Wyndham Carseland Park,PP,403.934.3523,,,177,2979,NR,AB,8.9,NW,Mossleigh
-117.586,55.12,YOUN,Youngs Point Provincial Park,PP,780.538.5350,,,124,2264,E RS,AB,5,NW,Calais
-114.145,53.02,ZEIN,Zeiner - Pigeon Lake Provincial Park,PP,780.586.2644,,,110,2894,WE RS,AB,28.4,W,Mulhurst Bay
-115.169,49.775,40MI,40 Mile Camp - Bull River,SF,,,2wd OK,5,3800,NH ND PT NW NS NR N$,BC,12.9,W,Sparwood
-121.209,52.53,ABBO,Abbott Creek,SF,,,2wd OK,5,2400,NH ND PT NW NS NR N$,BC,,,
-122.078,53.303,AHBA,Ahbau Lake,SF,,,2wd OK,20,3100,NH ND PT NW NS NR N$,BC,28.1,NE,Quesnel
-123.123,49.783,ALIC,Alice Lake Provincial Park,PP,604.986.9371,,,110,,NR,BC,5.8,N,Squamish
-115.547,50.123,ALIS,Alices Lake - Whiteswan Provincial Park,PP,250.422.3003,,,104,3971,NR,BC,,,
-120.336,51.223,ALLA,Allan Lake,SF,,,2wd OK,5,4100,NH ND PT NW NS NR N$,BC,8.4,SW,Darfield
